file,count
HIP00710.tsv.gz,0
HIP09789.tsv.gz,6324
HIP13497.tsv.gz,3019
HIP08076.tsv.gz,7282
HIP13932.tsv.gz,2893
HIP09001.tsv.gz,7393
HIP03812.tsv.gz,4058
HIP13780.tsv.gz,4543
HIP03592.tsv.gz,7220
HIP13352.tsv.gz,4519
HIP09118.tsv.gz,6703
