file,count
HIP00602.tsv.gz,175219
HIP04576.tsv.gz,201090
HIP05763.tsv.gz,1009
HIP17457.tsv.gz,241817
HIP04958.tsv.gz,26938
HIP08389.tsv.gz,295997
HIP10669.tsv.gz,217601
HIP12143.tsv.gz,189756
HIP03651.tsv.gz,214214
HIP03378.tsv.gz,184356
HIP14045.tsv.gz,170767
HIP03677.tsv.gz,281371
HIP12534.tsv.gz,109531
HIP01465.tsv.gz,153359
HIP04475.tsv.gz,251590
HIP01218.tsv.gz,154325
HIP01499.tsv.gz,85897
HIP02271.tsv.gz,196330
HIP15854.tsv.gz,242810
HIP12533.tsv.gz,228520
HIP11989.tsv.gz,234663
HIP10545.tsv.gz,71060
HIP05377.tsv.gz,160430
HIP02024.tsv.gz,253685
HIP13961.tsv.gz,125091
HIP14106.tsv.gz,10442
HIP03381.tsv.gz,132043
HIP00898.tsv.gz,239909
HIP01266.tsv.gz,249723
HIP01798.tsv.gz,193781
HIP12703.tsv.gz,178529
HIP14136.tsv.gz,187227
HIP05444.tsv.gz,295624
HIP14095.tsv.gz,260633
HIP14071.tsv.gz,79903
HIP00777.tsv.gz,235376
HIP00110.tsv.gz,94728
HIP01313.tsv.gz,180370
HIP13941.tsv.gz,222609
HIP14142.tsv.gz,154238
HIP13986.tsv.gz,149537
HIP02947.tsv.gz,312734
HIP05838.tsv.gz,244935
HIP03194.tsv.gz,104254
HIP12097.tsv.gz,185188
HIP13185.tsv.gz,202140
HIP13814.tsv.gz,118911
HIP17845.tsv.gz,192888
HIP13978.tsv.gz,198387
HIP13178.tsv.gz,149648
HIP13361.tsv.gz,157966
HIP08223.tsv.gz,156848
HIP03197.tsv.gz,170974
HIP12129.tsv.gz,131973
HIP14016.tsv.gz,182067
HIP09364.tsv.gz,146270
HIP13396.tsv.gz,296906
HIP08345.tsv.gz,219370
HIP02855.tsv.gz,397835
HIP13296.tsv.gz,108629
HIP10445.tsv.gz,168151
HIP01393.tsv.gz,234427
HIP01022.tsv.gz,183776
HIP14036.tsv.gz,190782
HIP05665.tsv.gz,100156
HIP13903.tsv.gz,146898
HIP14205.tsv.gz,164077
HIP08439.tsv.gz,325763
HIP12165.tsv.gz,81416
HIP14194.tsv.gz,355573
HIP13220.tsv.gz,99742
HIP01392.tsv.gz,157788
HIP04511.tsv.gz,125122
HIP01384.tsv.gz,102469
HIP17577.tsv.gz,206194
HIP13964.tsv.gz,196289
HIP13786.tsv.gz,341618
HIP09235.tsv.gz,202809
HIP03111.tsv.gz,152267
HIP10408.tsv.gz,252274
HIP19048.tsv.gz,48674
HIP01805.tsv.gz,254507
HIP09020.tsv.gz,140122
HIP13996.tsv.gz,199250
HIP14175.tsv.gz,236333
HIP13887.tsv.gz,199431
HIP08230.tsv.gz,177542
HIP12099.tsv.gz,182880
